名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
五香烤鸭,297748.jpg,鸭,五香粉 孜然粉 料酒 蜂蜜 姜 葱 蒜,,五香,,,秋季食谱,"['准备好材料。', '鸭子放入盆中，倒入五香粉，孜然粉，料酒，酱油，葱姜蒜。', '用手把所有调料抹在鸭肉上抹匀腌制2个小时。', '腌制好的鸭子刷上一层酱汁（腌制鸭子时留下来的调料汁）和蜜糖，放在架子上或者干的盆里晾干。', '晾干后入烤炉中层200°20分钟。', '拿出来刷上刚才腌鸭肉的酱汁，刷上一层蜜糖，晾干后进烤炉170°60分钟。', '烤好后的鸭子可以直接切块吃，也可以片下鸭肉。']",500,富含蛋白质、含脂肪、维生素B
萝卜素炸丸子,210415.jpg,水果箩卜 剩米饭 玉米淀粉 蛋清,油 盐 十三香 葱姜 胡椒粉,,咸鲜,,,春季食谱,"['水果箩卜洗净去皮', '用擦子将萝卜擦成丝，加入食盐腌制10分钟，挤出水份', '葱姜切碎', '加入剩米饭、蛋清和葱姜碎', '加入玉米淀粉', '搅拌均匀', '炒锅加入适量的油', '油热7成，将拌好的萝卜馅料团成大小相等的丸子下入油锅，中火慢慢炸至表面金黄即可。']",100,富含维生素、含蛋白质
玉米红枣排骨汤,334260.jpg,玉米 排骨 红枣 枸杞 干淮山 生姜,料酒,,甜香,,,夏季食谱,"['排骨先焯水（冷水下锅，加少许料酒，煮至水开）', '准备材料：玉米切段，红枣、枸杞、干淮山洗净备用，切一块生姜', '所有材料放锅里煮开', '转移到高压锅里，选择soup功能键，炖45分钟（平时不赶时间的话，煲汤一般用慢炖锅炖上三四小时）', '炖好后，加盐和鸡精调味', '清淡微甜的排骨玉米汤做好了']",150,富含蛋白质、维生素B、铁元素
椒盐小土豆,257988.jpg,土豆,盐 油 干辣椒,,中辣,,,秋季食谱,"['买回来的小土豆清洗干净，用牙刷刷干净表皮。', '刷干净后再清水泡一会。', '不用削去外皮，直接蒸熟。', '蒸好的小土豆。', '热锅下油，两个干辣椒剪碎一起倒入锅里。', '把蒸熟的土豆放入锅里，用锅铲轻轻压一下，中小火煎至两面金黄。煎的同时在表面撒上一些盐入味。', '带皮的土豆煎好后脆脆的，内里软软的，带上干辣椒的辣味，咸香适中。', '成品图。别看辣椒少，干辣椒煸起来也是有辣味的。']",100,富含淀粉、含蛋白质、维生素C
戚风蛋糕,357834.jpg,鸡蛋 低筋面粉 牛奶 玉米油 白砂糖,白醋 白芝麻,,奶香,,,秋季食谱,"['要准备两个无水无油的盆里，蛋清蛋黄分离。', '蛋黄加入60g牛奶，60g玉米油，40g白砂糖，搅拌均匀。', '搅拌好以后分3次筛入85g低筋面粉。', '搅拌好以后的蛋黄糊顺滑，没有面粉颗粒。', '打蛋白，放几滴白醋，打蛋器1分钟，30g白糖分3次加入，打发至图状，纹路特别细就可以。', '拌蛋黄糊，这一步特别关键，先取3分之一的蛋白放入蛋黄糊里翻拌均匀。', '再全部倒入蛋白盆里翻拌均匀即可，不要搅拌，震几下气泡。', '装入6寸蛋糕模具中，撒适量白芝麻。', '放入烤箱，120℃～30分钟。', '烤好以后拿出迅速震两下，立即倒扣。', '等凉却以后再脱模，如果不凉透就脱模，蛋糕会塌陷的，蛋糕就做好了，特别松软好吃。']",120,富含蛋白质、碳水化合物、维生素E
茴香苗大白瓜包子,355346.jpg,茴香苗 肉 白瓜 面 水,提前腌肉 老抽 粉条 姜 五香粉,,原味,,,夏季食谱 秋季食谱,"['茴香苗。洗一洗切碎', '大白瓜。切碎。放点葱花', '这个整个的大白瓜', '这个肉是加了。粉条酱油。蚝油五香面姜。肉是提前一晚腌制的', '包哪个菜的加上肉。加上盐。油拌一拌。就可以。盐慢放别咸了', '放锅蒸。开锅冒大气是开锅。大开15分钟就可以了', '出锅了', '面加上酵母发开就行']",100,富含维生素、含蛋白质
金蒜烧带鱼,219636.jpg,带鱼,食盐 食用油 料酒 高度白酒 白糖 鸡蛋 花椒粉 葱段 姜丝 蒜瓣 陈醋 生抽,,咸鲜,,鲁菜,秋季食谱,"['将带鱼洗净切7~8公分段，在带鱼身上划上刀口，放入食盐、白糖、料酒、花椒粉、高度白酒葱姜丝，腌制30分钟；', '平锅内放入食用油将蒜瓣煸至金黄色捞出备用；', '腌好的带鱼沾上鸡蛋液；', '放入第2步中炸过蒜瓣的油中煎制；', '带鱼煎制两面金黄后，倒入陈醋、生抽及炸好的蒜瓣、腌制带鱼时的葱姜丝，再倒入少许的热水，略微烧制5分钟，汤汁收浓即可。', '将盘子简单装饰，装盘即可。']",215,富含蛋白质、含不饱和脂肪酸、维生素E、硒元素
莲子百合鸡汤,659122.jpg,土鸡 莲子干 百合干 山药干 红枣 枸杞,,盐 胡椒粉 清水,原味,生鲜,,,"['土鸡半只。', '剁成块。', '准备汤料：莲子、百合、山药、红枣、枸杞。', '除了枸杞外，所有食材放入汤锅。', '加入清水。', '大火烧开。', '转小火煲1个小时，中途需多次打去浮末。', '时间到。', '放入盐、胡椒粉调味，最后撒入枸杞即可。', '成品。汤鲜味美，健脾养胃。']",150,富含蛋白质、含维生素B、铁元素
啤酒焖羊肉,309461.jpg,羊肉 蒜头 盐 生抽 蒜苗,啤酒 姜块 冰糖 料酒 卤料包,,五香,,闽菜,,"['羊肉洗净，入冷水锅内，加两勺料酒焯一遍。', '炒锅放入适量冰糖，小火把冰糖融化。', '加入蒜姜块，与焯过水的羊肉一起翻炒几遍。', '倒入一罐黑啤，放入卤料包。', '大火煮开后关小火焖炖40分钟左右。', '最后放入切好的蒜苗，加盐调味即可。']",200,富含蛋白质、维生素B、铁元素
青柠薄荷冰饮,190472.jpg,新鲜薄荷叶 蜂蜜 青柠 碎冰块,,,清淡,,,夏季食谱,"['材料准备好', '薄荷叶冲洗干净', '青柠用盐反复擦洗干净', '随后切薄片', '将青柠片放入杯中，兑入适量凉开水', '放入洗净的薄荷叶', '依个人口味调入蜂蜜', '加入碎冰块，或者放冰箱冷藏一会，口感更佳']",45,富含维生素C
杏鲍菇炒肉片,274716.jpg,瘦肉 杏鲍菇,油 盐 糖 酱油 蚝油 黄酒 玉米淀粉 黄豆酱,,咸鲜,,,春季食谱,"['准备好材料。', '瘦肉洗干净后，切小片。', '肉片用油、盐进行调味腌制2小时。', '杏鲍菇切片。', '准备好调味汁（酱油、黄豆酱、蚝油、黄酒）', '下油锅，爆炒肉片。', '再加进杏鲍菇一同翻炒。', '用玉米淀粉、糖、清水做一个芡汁。', '倒进调味汁调味。', '再加进芡汁，炒至收汁即可。']",150,富含蛋白质、维生素B、铁元素
干炸小鲫鱼,128652.jpg,鲜小鲫鱼 面粉,盐 鸡精 白糖 料酒 花椒 葱 孜然粉 姜丝,,孜然,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['鲜小鲫鱼去除内脏、鱼鳃、鱼鳞、鱼鳍等收拾干净。', '鲫鱼加入料酒、花椒、葱姜丝、盐，鸡精、白糖腌制30分钟', '取碗一个盛入面粉，把小鲫鱼两面蘸匀面粉，并抖去多余的。', '放入盛器内备用。', '锅放火上，添入适量油，七成油温时下入鲫鱼炸至定型后把火转小，把鱼炸透。', '捞出沥净油。', '待油温再升至七成热时，复炸一下捞出沥净油。', '孜然粉和盐混合均匀。', '撒在炸好的小鱼上即可。', '炸好的小鱼焦香酥脆，里面的小刺也能食用。', '成品图']",200,富含蛋白质、含不饱和脂肪酸
山芋舒芙蕾,263378.jpg,山芋 火腿 芝士 黄油 牛奶 酸奶 鸡蛋 面包糠,迷迭香 盐 黑胡椒,,奶香,,,秋季食谱,"['首先我们回顾一下材料，另外将烤箱（下火）预热至450华氏／220摄氏度。', '将土豆洗净后连皮在沸水中中火煮40分钟，水里面要放一大勺盐。', '用叉子确认了土豆已经煮透了，就可以取出。', '去皮，用叉子将土豆压成泥。（此过程根据自己喜好选择土豆泥的程度）趁着热量，加入牛奶、黄油、酸奶搅拌均匀。', '加入切碎的火腿、芝士、香料、鸡蛋黄，搅拌均匀并用盐和胡椒调味。', '将两份的蛋白打至干性发泡（HardPeak），如果想要蛋白效果更稳定，可以在打蛋白初期滴入两滴白醋／柠檬汁／它它粉。将打好的蛋白以翻动（Fold）的手法混入土豆泥中。', '在烤舒芙蕾的器皿内喷上一层油。（用室温黄油涂抹也是可以的）', '和传统舒芙蕾的手法一样，在器皿内粘上一层面包糠。', '倒入之前混合好的土豆泥浆，装至8分满即可。放入烤箱，以450华氏／220摄氏度烤15-20分钟。', '最后我们来欣赏一下制成品。（黄金时间只有1分钟，所以个顶已经有些微的踏陷了）', '图2', '图3']",100,富含碳水化合物、含蛋白质、维生素C
开心土豆泥,164032.jpg,土豆 玉米粒 青豆 火腿肠,牛奶 沙拉酱 盐,,原味,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['准备两个土豆洗净备用；', '准备牛奶和沙拉酱备用；', '削皮后切成小块；', '玉米粒和豌豆粒洗净；', '火腿肠切小粒备用；', '土豆和玉米粒豌豆一同上蒸锅，盖上盖子大火蒸10分钟左右；', '蒸好的土豆倒在大盆内，用勺子压成泥状；', '加入少许的牛奶和沙拉酱搅拌均匀；', '最后加入玉米粒、豌豆和火腿肠粒搅拌均匀；', '加入2克盐搅拌均匀即可装盘食用。', '成品图~']",100,富含碳水化合物、含蛋白质、维生素C
青椒西红柿蛋炒饭,343849.jpg,剩米饭 鸡蛋 西红柿 青椒,盐 大香粉 花椒粉 姜粉 葱 姜 蒜,,酸辣,,,夏季食谱,"['准备好原料，和剩米饭一碗', '蛋液倒入剩米饭搅拌均匀', '锅内热油，爆炒葱姜蒜，而后就放入西红柿青椒一起翻炒', '撒入大香粉，花椒粉，姜粉，然后把搅拌好的米饭倒入一起翻炒，带锅内没糊之前撒入少量盐，就可以出锅了']",300,富含蛋白质、维生素C、维生素A
亚麻籽油苏式椰丝月饼,483445.jpg,面粉 亚麻籽油,椰丝馅 盐,,甜味,,,中秋,"['先和面：水油皮，100克面粉加30毫升亚麻籽油和适量水，和好后放冰箱冷藏一夜；', '和油酥面：100克面粉加40毫升亚麻籽油；', '水油皮醒好后，擀成薄片，抹上油酥，卷起，分成10个小剂子；', '包上椰丝馅，抹上蛋黄液；', '烤箱200度预热，烤30分钟；', '成品。']",500,富含蛋白质、含维生素E、铁元素
洋姜拌食,432583.jpg,洋姜,盐 花椒 青椒 红椒,,麻辣,,,秋季食谱 冬季食谱,"['洋姜刷洗干净，控水。', '切成粗丝。', '撒上适量盐，拌匀，杀一下水。', '青红椒切小圈。', '把腌出的水份倒出，适量花椒。', '青红椒放入。', '再放入适量盐用手拌匀，盛入保鲜盒，放冰箱腌三十分钟。食用时拌上香油即可。', '成品。', '成品。']",100,富含碳水化合物、含膳食纤维、维生素C
炸猪肉丸子,661625.jpg,前腿肉馅 剩馒头,大葱 鸡蛋,盐 十三香 花椒粉 生抽 老抽 淀粉 蚝油,咸香,炸,,,"['准备主要食材：猪前腿肉馅600克，剩的凉馒头打碎，大葱一段，鸡蛋一个。', '肉馅中加盐，十三香，花椒粉，鸡蛋，淀粉，生抽，老抽，蚝油，大葱切碎。', '朝着一个方向搅打上劲。', '加入干馒头，肉馅如果太干可加一点清水。', '这是制作好的肉馅。', '锅中放适量油，油温6成热放入团好的丸子，刚开始中火炸定型，转小火炸到丸子飘起来，最后转大火炸出焦壳。', '大约需要6-8分钟左右，控油捞出。', '趁热吃外焦里软，放凉了别有一番风味。', '炸多些存放起来，可做大烩菜，蒸扣碗，还是小时候的味道……']",500,富含蛋白质、含脂肪、维生素B
腊肠胡豆焖饭,260768.jpg,腊肠 胡豆,葱 姜 蒜 花椒 干辣椒 盐,,咸鲜,,,春季食谱,"['葱姜蒜切丁，干辣椒切段，花椒备用。', '嫩胡豆剥出后洗净备用。', '腊肠切丁备用。', '热锅冷油，油热后入花椒干辣椒小火炸出香味，捞出花椒干辣椒不要。', '入腊肠丁翻炒一下。', '入姜蒜翻炒出香味。（注意不要把葱花一起放下去了，葱花等饭焖好之后再放，用饭的温度将葱花焖至断生出葱香，既不会太生太辣，也不会有焖久了的烂葱味。）', '倒入胡豆翻炒断生，根据口味调入适量盐。', '用调羹将剩饭在电饭煲或电压力锅中铺平，为避免糊锅再均匀调入小半碗的水。将炒好的腊肠胡豆均匀铺在锅内的剩饭上面，煮好后再入葱花拌匀。']",400,富含蛋白质、含碳水化合物、维生素B
豆豉牛蛙,208040.jpg,牛蛙,姜片 葱段 豆豉 料酒 生抽 白糖 盐 鸡精,,微辣,,,秋季食谱,"['食材：牛蛙（已洗净）、姜片、葱段', '将已洗净的的牛蛙放在案板上剁成块，待用。', '烧锅倒油烧热，下入姜片炝锅。', '随后，下入剁好的牛蛙，加适量的料酒。', '翻炒翻炒。', '接着，加适量的清水。', '煮开至熟。', '然后，加适量的豆豉。', '加适量的生抽。', '加适量的白糖。', '加适量的盐。', '加适量的鸡精。', '调味炒匀。', '最后，搁入葱段，即成。', '出锅装盘。']",200,富含蛋白质、维生素B、铁元素
海米菌菇炒豌豆,220741.jpg,豌豆粒 白玉菇 口蘑,食盐 泡发海米 白糖 淀粉 姜丝 食用油,,咸鲜,,,春季食谱,"['准备原料，将海米泡发；', '将口蘑切片、白玉菇撕成小朵；', '将两种菌菇入热水中焯烫；', '超锅内倒入食用油，放入姜丝炒香；', '打入豌豆粒、焯烫好的菌菇，翻炒；', '再倒入泡发的海米（泡海米的水一同倒入锅内），放入少量的热水，炖煮2分钟；', '淋上水淀粉，翻炒均匀后即可。']",150,富含蛋白质、维生素C、膳食纤维
浇汁豆腐,132135.jpg,豆腐,香葱,,微辣,,,春季食谱,"['将豆腐切成一厘米厚的片。', '将豆腐放入热水中烫一下去掉异味。', '平锅放适量油，将豆腐放入锅中小火煎。', '煎豆腐时将香葱切成葱末。', '在碗里放入调味酱油、少许花椒粉、一调味勺糖和适量清水搅拌均匀。', '豆腐一面煎黄后翻过来煎另一面，还可以继续翻面煎，直到外焦里嫩。', '豆腐煎好后，将调味汁倒入锅中，翻炒以下，使豆腐均匀地沾上料汁。', '放入辣椒面，翻炒均匀装盘，撒上香葱。']",100,富含蛋白质、含钙、维生素E
番茄冰果汁,329599.jpg,大番茄,白糖 清水 冰块,,酸甜,,,夏季食谱,"['关于鲜榨水果汁，我有两种做法，这次就先说简单的一种。选用大个儿的番茄（约300g/个）二个，白砂糖10g，清水10g，冰块适量（没有也可不用），榨汁一台，水果削刀一把。', '把番茄洗净，用水果刀从底部下刀开始削皮（像削梨子一样），皮不能削断了，否则没法卷起来做杯饰，皮削尽，去蒂，切块，全部放进榨汁机榨出纯汁（应该能榨出400ml纯番茄汁），将削好的番茄皮卷起来做成一朵玫瑰花', '用一根吸管从花的底部对准花中心穿上去，10g白糖加入10g清水放进光波炉，高火打化成糖浆，倒入番茄汁里拌匀。然后把吸管插在装满番茄汁的杯子里，把花朵斜靠在杯沿上做杯饰。这次没有准备好图片资料，所以只能靠讲解，下次准备充分了再来。']",100,富含维生素C
黑白木耳百合羹,251137.jpg,水发黑木耳 水发白木耳 枸杞 百合干,冰糖,,其他,,,冬季食谱,"['把黑白木耳水发后剪碎', '百合干和枸杞洗净', '把所有材料倒入炖锅里，加入热水炖4-5小时然后加入冰糖即可']",100,富含膳食纤维、含蛋白质、维生素C
豆香鲳鱼,263392.jpg,鲳鱼,毛豆子 桂皮 八角 辣椒 姜丝 蒜片 胡椒粉 老抽 鸡精,,微辣,,,春季食谱,"['鲳鱼一条，用刀打去鱼鳞后再用刀剜去鱼鳃，破开鱼肚，掏空内脏后洗净。鱼身两面打深十字花刀。', '用适量的盐擦揉鱼身两面，记得鱼腹内和鱼鳃内都要擦到。有时做鱼有腥味，就是这些部位没处理好。最后将鱼挂通风处吹一个下午。', '毛豆子适量；八角、桂皮、辣椒、姜丝、蒜片各适量。', '锅烧热去油，光锅转小火，放入鲳鱼后转动锅子，锅铲配合将鱼每个部位煎到。鱼翻面时从鱼肚方向入铲，筷子配合。将鱼的另一面每个部位煎香，煎鱼背时锅的倾斜度加大，锅铲按住煎。煎好后将鱼扒到锅边，锅子微斜。倒入蒜片、姜丝、辣椒、八角、桂皮小火炒香。', '将鱼扒向锅中间，转大火浇入一勺二锅头酒，迅速盖上锅盖焖15秒。', '加入适量的水，水量要淹住鱼的大部分，加入适量的老抽再倒入毛豆子，再加入适量胡椒粉，扒均后大火焖煮5分钟。', '5分钟后，从鱼腹方向将鱼翻面，盖上锅盖继续大火焖煮5分钟。煮的时候可抖动一下锅子，防止鱼身粘锅。5分钟后大火收汁，加入适量鸡精将汤汁收干，关火起锅。', '成品图']",200,富含蛋白质、维生素A、维生素D、钙
青椒炒鸡蛋,324031.jpg,鸡蛋 青椒,盐 食用油,,咸鲜,,,夏季食谱,"['原料：青椒、鸡蛋。', '鸡蛋去壳，青椒切小丁。', '将鸡蛋打散后，加入青椒丁搅拌均匀。', '锅内倒入食用油。', '将鸡蛋液倒入。', '加入盐，炒熟即可。', '成品。']",150,富含蛋白质、维生素A、维生素B、铁元素
榨菜肉丝,196828.jpg,猪瘦肉 榨菜,酱油 淀粉 白糖 料酒 油 盐,,咸鲜,,,冬季食谱,"['原料展示；', '肉丝用料酒、淀粉、酱油、白糖及少许油抓匀腌制15分钟；', '榨菜用水冲一下，去掉过碎的渣滓；', '炒锅内入适量油，烧至五分热，下肉丝快速翻炒；', '待肉丝变色，立即加入少许的盐；', '接着倒入榨菜；', '继续翻炒至榨菜香味出来；', '关火，盛盘出锅。']",150,富含蛋白质、维生素C、铁元素
免炸猪排,261822.jpg,里脊肉 鸡蛋 面包糠 面粉,食盐 黑胡椒 料酒,,咸鲜,,,春季食谱 秋季食谱 冬季食谱,"['里脊肉用淡盐水或者淘米水浸泡30分钟。', '撕去肉表面的筋膜，切成大小均匀的块儿。', '用刀背或者专用的锤子砸一砸，成肉排状。', '放入料酒、食盐和黑胡椒。', '搅拌均匀后腌制至少两个小时。', '腌好的猪排在面粉里滚一圈儿。', '在放到蛋液里滚一圈儿。', '接着放到面包糠中。', '将其均匀的裹满面包糠，用手压实面包糠。（压实面包糠是为了这样可以粘更多的面包糠。）', '做好所有的猪排。', '预热烤箱，上下火190度，25分钟即可。', '烤好以后。', '切小块儿~', '挤点儿番茄酱~', '滋味更棒~', '开吃吧~']",200,富含蛋白质、含铁元素
田园蔬菜饼,244915.jpg,玉米青豆粒 面粉 牛奶,盐,,奶香,,,夏季食谱,"['准备好所需要材料', '火腿肠切成小粒', '面粉加入鸡蛋', '加入适量的牛奶调成糊状', '加入蔬菜火腿肠少许一点盐调味', '平底锅涮一层油，，放入涮好油的模具', '倒入面糊小火煎之定型', '轻松的可以脱模', '一直要用小火煎熟', '成品']",150,富含膳食纤维、维生素C、维生素A
香菇炒鸡蛋,349032.jpg,香菇 鸡蛋,盐 山茶油 生抽,,咸鲜,,,夏季食谱,"['鸡蛋，打散，划开；', '香菇，洗净，去蒂，切片；', '热锅，入油，倒入鸡蛋液，迅速划散；', '放入香菇，翻炒；', '调入盐；', '再调入生抽，翻炒；', '搅拌，收汁；', '装盘～']",150,富含蛋白质、维生素D、维生素B群、铁元素
水芹炒藕丝,175606.jpg,水芹 莲藕,胡萝卜 红彩椒 黄彩椒,,清淡,,,小满 小暑,"['莲藕去皮洗净切与水芹差不多大小的细段，然后浸泡于清水中备用', '水芹去叶洗净切成5~150px左右小段，胡萝卜、红黄彩椒分别洗净切丝，所有材料都准备就绪后就可以将莲藕捞出沥干水分', '锅中热适量油，放入莲藕中火煸炒约2分钟', '转大火，放入胡萝卜和水芹煸炒约1分钟', '加入红彩椒和黄彩椒翻炒数下', '烹入1大匙绍兴酒，颠数下锅', '加入糖', '加入盐再次翻炒均匀', '待食材全部熟后落入少许鸡粉调味即可出锅装盘']",100,富含维生素、含蛋白质、铁元素
酸豆角炒肉末,280257.jpg,酸豆角 猪肉馅,植物油 姜末 辣椒碎 盐 酱油,,酸咸,,,夏季食谱,"['酸豆角切碎末，因为是自家腌的，很干净，为了让味道更重，我没有洗，直接切了', '猪肉馅准备好，我的这碗肉量很大，但实际用量只有300克左右', '热锅凉油，将姜末倒入锅中，小火慢煸', '姜末煸到金黄色', '将肉馅倒入锅中，大火煸炒出汤，这样的肉末吃起来才干香', '将酸豇豆倒入锅内，大火翻炒', '待豇豆中的水汽煸出一部分时，根据口味倒入辣椒碎，也可以使用新鲜的红辣椒圈', '倒入适量的酱油、盐，不停地翻炒', '汤变得很少，豇豆末也熟了，出锅', '很诱人吧', '一起来做吧']",150,富含蛋白质、维生素C、铁元素
草莓布丁,312997.jpg,布丁粉 草莓,水,,甜味,,,夏季食谱,"['准备一包布丁粉。', '奶锅里加入适量水煮制。', '草莓洗净切小块。', '水开后倒入布丁粉搅拌均匀后关火。', '倒入草莓块。', '倒入容器中晾凉至凝固。', '装饰一下就可以了。']",150,富含维生素C、含蛋白质
茄子肉丁手擀面,368210.jpg,面粉 肉馅 茄子,生抽 蚝油 老抽 香油 淀粉 蒜 鸡精 葱,,原味,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['肉馅用生抽和少许淀粉腌制一下，茄子去皮切末', '油烧热,放入蒜末煸香。下肉丁煸炒出油,下茄丁煸炒加入一点老抽;生抽，鸡精和蚝油,加一点水炒匀收汁。淋香油出锅', '提前一夜加少许淀粉活的面团醒制室温柔光揉匀', '擀成片', '撒扑面折叠', '如图，每折一次撒上扑面', '切成条', '锅做水烧开下入面煮至自己喜好的口感捞出投凉控水备用', '浇上茄子卤撒上葱花']",100,富含膳食纤维、含蛋白质、维生素E、铁元素
秋葵炒马蹄,354062.jpg,秋葵 马蹄 胡萝卜,植物油 盐,,原味,,,秋季食谱,"['秋葵焯水捞出备用', '秋葵焯水后切段、马蹄去皮切小块。', '锅底淋入植物油、翻炒胡萝卜；再加入马蹄', '再加入马蹄', '最后加入秋葵翻炒，出锅前加入盐调味。', '美味的秋葵炒马蹄出锅了']",70,富含膳食纤维、含维生素C、铁元素
凉拌鸡脚,338917.jpg,鸡脚 香叶 花椒,盐 糖 姜 蒜 料酒 生抽 醋 麻油 辣椒粉 植物油 小葱,,中辣,,,夏季食谱,"['鸡脚洗干净，切去指甲。', '对半切开。', '加香叶，花椒，姜，料酒入锅煮，水开后中大火煮15分钟。', '无需煮的太久，十多分钟足够煮熟了，煮的太久就没有嚼劲了。', '煮好的鸡脚取出，迅速用冷水冲洗干净。', '加入姜丝，大蒜籽，小葱。', '辣椒粉加少许花椒。', '浇上热油。', '浇在鸡脚上，并加入盐，糖，味精，生抽，料酒，醋，几滴麻油。', '搅拌均匀后静置入味即可。', '成品', '成品', '成品']",150,富含胶原蛋白、含蛋白质
咸蛋黄肉松青团,259157.jpg,糯米粉 澄面 青麦苗 水 葵花籽油,肉松 咸蛋黄 橄榄油,,咸鲜,,粤菜,,"['咸蛋黄上笼蒸5分钟蒸熟', '自己做的鸡肉松，因是给宝宝做的，味道很淡，而且很碎，所以加了4颗咸蛋黄。如果是肉松比较咸的，可以加2颗蛋黄。', '把咸蛋黄捏碎，然后和肉松一起拌均匀，我做的肉松比较干，就加了少量的橄榄油，能用力抓成团就行了。这种团一捏就会散开，这样就行了', '把馅料分成4份，团成团备用', '糯米粉很澄面备好', '两种面粉都放入盆中', '青麦苗用淡盐水焯烫一分钟左右，以去除青涩味，颜色也很更好看', '把麦苗切碎，加入100克的水，放入破壁机搅打成糊状。其实用90克即可，但因机器中会残留，所以我多加了10克', '用网筛过滤，一定要把渣攥干，这样保证有足够的汁出来', '把青麦汁倒入面粉中', '和成面团后加入少许的油，加点油面团会更滋润', '揉成光滑的面团', '上笼蒸20分钟。蒸好的面团表面看着颜色淡，其实里面颜色是碧绿的', '保鲜膜上涂少许油，我是用勺子取了适量面团直接放保鲜膜上，然后放上馅料，借助保鲜膜包严实即可', '青麦的青团和茵陈及艾叶的比，颜色稍淡一点点。右边最大的那个是肉松的，颜色稍淡，左边小的是枣泥的，皮是茵陈的，颜色较深些。']",200,富含蛋白质、含脂肪、碳水化合物
豆腐蒸仙姑片,276532.jpg,鲜香菇 细香葱 蘑菇精 湿淀粉,嫩豆腐 盐 胡椒粉,,葱香,,,秋季食谱 冬季食谱,"['备齐材料', '葱切葱花备用', '切好香菇备用', '豆腐切厚片备用', '喜欢清淡的可以直接将香菇片和豆腐片夹在一起蒸，喜欢浓稠一些的味道，可以将香菇片放锅里略煎一下。然后撒上盐好，蘑菇精和胡椒粉，在盘底放入少许的水。', '然后放入电蒸锅蒸10分钟。没有电蒸炉可以用炒锅蒸制，锅里水烧开后蒸10分钟即可。', '这是蒸好的菜品，颜色微黄透亮，清香飘逸。', '然后将盘内的汁水泌入锅里，调一下味道后勾芡。', '勾芡。', '然后将盘内的汁水泌入锅里，调一下味道后勾芡。', '最后撒上葱花即可。', '制作完成，现在可以享受健康与美味咯。欢迎关注素心居静，我会经常做素食菜谱，和大家一起分享。也感谢大家把好的菜谱分享给自己的朋友，大家的分享就是对我的最大鼓励。大家有问题可以留言，我会每条看过，期待交流。大兵工作室发布']",100,富含蛋白质、含钙、铁元素
豆腐木耳鱼丸汤,343784.jpg,豆腐 木耳 鱼丸,芝麻油 胡椒粉 姜 盐,,咸鲜,,,夏季食谱,"['准备好食材：豆腐、发泡木耳、鱼滑（稍后做成鱼丸）、姜。', '取400克豆腐切成小块、鱼滑做出12粒鱼丸，姜切丝。', '锅里烧开水放入姜丝。', '放入木耳大火煮沸转中小火继续煮约十五分钟。', '加入切好的豆腐转大火煮片刻。', '再加入鱼丸继续煮。', '当鱼丸浮出水面时，调入适量盐、胡椒粉与芝麻油，然后熄火。']",100,富含蛋白质、含铁元素、维生素E
香蕉西葫芦炒腊肉,214257.jpg,香蕉西葫芦 腊肉 香芹,生姜 大蒜 生抽 盐 油,,咸鲜,,,春季食谱,"['阳光新苑新侬绿色蔬菜', '准备好原材料', '腊肉清洗干净放入锅里煮熟', '香蕉西葫芦切成薄片', '香芹切成小段', '生姜、大蒜切成末', '煮熟的腊肉切成薄片', '锅里放入少许油，将腊肉放入锅里煸炒出油分，起锅待用', '锅里留底油，爆香姜蒜末', '加入香蕉西葫芦片、香芹，快速翻炒，加入适量盐和生抽，翻炒均匀', '加入腊肉翻炒均匀', '出锅啦']",150,富含维生素C、含蛋白质、含钾、含膳食纤维
清炒高笋,391232.jpg,高笋,生姜 大蒜 盐 鸡精,,清淡,,,春季食谱,"['准备所需食材。', '热锅倒油放入生姜大蒜炒香。', '倒入高笋翻炒。', '片刻的加少许盐，鸡精，一点点水翻炒两下即可出锅。', '撒上葱花。', '成品图。', '成品图。']",100,富含维生素、含蛋白质
葱油小鲍鱼,251119.jpg,小鲍鱼,砂糖 生抽 料酒 蚝油 盐 葱 色拉油,,咸鲜,,,秋季食谱,"['买回的小鲍鱼用牙刷洗净', '锅中加入姜片和清水', '放人洗净的小鲍鱼焯水5分钟', '把小鲍鱼的肉取出', '把每个小鲍鱼都开花刀', '起油锅熬点葱油', '锅中剩适量葱油，放人小鲍鱼', '加入料酒、蚝油、生抽翻炒均匀', '加少许盐和砂糖炒匀', '起锅前撒上葱花即可']",100,富含蛋白质、含维生素E、锌元素
